@relation GesturePredictions

@attribute labels {a,b,c,d,e,f,g,h,i,j,k,l}
@attribute zeroFingerFramesRatio numeric
@attribute oneFingerFramesRatio numeric
@attribute twoFingerFramesRatio numeric
@attribute threeFingerFramesRatio numeric
@attribute fourFingerFramesRatio numeric
@attribute fiveFingerFramesRatio numeric
@attribute rightFramesRatio numeric
@attribute leftFramesRatio numeric
@attribute upFramesRatio numeric
@attribute downFramesRatio numeric
@attribute forwardFramesRatio numeric
@attribute backwardFramesRatio numeric
@attribute avgGripStrength numeric
@attribute avgPinchStrength numeric
@attribute averageTipDistanceRatio numeric
@attribute avgPitch numeric
@attribute avgYaw numeric
@attribute avgRoll numeric
@attribute avgXPalmVelocity numeric
@attribute avgYPalmVelocity numeric
@attribute avgZPalmVelocity numeric
@attribute avgScaleFactor numeric
@attribute avgSphereRadius numeric

@data
b,2605,7394,0,0,0,0,924,420,84,252,13445,18487,2551,9751,3237653,8280,2227,-4223,-60747,-208807,419094,9846,384798
b,3448,6551,0,0,0,0,2275,275,68,344,17931,15862,3397,8703,3008684,7497,-5010,4957,-501215,-218253,-273198,9887,370185
b,3170,6829,0,0,0,0,1646,304,121,182,10975,17682,3938,9197,2902564,8410,-3664,5450,-550485,-560472,-789719,9919,370990
b,764,9235,0,0,0,0,823,764,235,117,11764,17058,3030,6768,3251903,9333,2578,-1434,-427018,-685415,-702178,9932,403233
b,2848,7151,0,0,0,0,886,506,126,126,18354,18354,3464,9649,2959593,9303,5350,-8442,-421172,-294282,-182736,9897,379023
b,2012,7987,0,0,0,0,2012,670,60,243,10365,15243,3247,9951,2921398,7807,-4286,703,-268706,-150960,-118244,9892,379611
b,2180,7819,0,0,0,0,676,75,225,75,10526,26315,2057,9195,3509705,9448,5033,-7494,202743,329387,865396,9889,396036
b,3243,6756,0,0,0,0,1216,270,0,67,12837,25000,2143,7918,3259658,10467,6200,-9488,177830,260683,1210942,9925,393565
b,718,9281,0,0,0,0,2026,980,196,196,24836,24836,3611,6258,3173286,8954,5125,-8488,-493852,25713,146154,9900,411161
b,1639,8360,0,0,0,0,1393,245,81,245,12295,17213,1918,9429,3339449,6781,1393,-4328,505329,96601,517231,9885,393463
b,2500,7500,0,0,0,0,1142,1071,0,214,11428,14285,3968,9795,2885859,8298,-9158,835,-445520,-255431,-332744,9887,374766
b,1188,8811,0,0,0,0,1118,69,0,0,9090,13286,1883,9399,3264261,7339,1550,-3322,307500,43120,333062,9884,399503
b,2155,7844,0,0,0,0,517,862,172,603,14655,12931,2966,9698,3003500,6757,-7166,5858,205530,26303,635560,9858,381699
b,3478,6521,0,0,0,0,807,1242,62,248,9937,16149,4444,9709,2675619,9672,-10600,-556,-514459,-400785,-197137,9897,367356
b,285,9714,0,0,0,0,476,190,95,95,7619,3809,1298,9830,3506344,5105,-7522,6325,564395,-84466,168712,9853,387100
b,1296,8703,0,0,0,0,833,370,0,185,12037,11111,1343,9732,3484705,4865,1508,-3937,391051,-249355,178824,9832,395259
